decimalLongitude,decimalLatitude,presence,cropped_bioclim_stack,wc2.1_5m_bio_1,wc2.1_5m_bio_10,wc2.1_5m_bio_11,wc2.1_5m_bio_12,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_16,wc2.1_5m_bio_17,wc2.1_5m_bio_18,wc2.1_5m_bio_19,wc2.1_5m_bio_2,wc2.1_5m_bio_3,wc2.1_5m_bio_4,wc2.1_5m_bio_5,wc2.1_5m_bio_6,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9
-88.1063265765015,40.3106536791122,0,10.613791465759277,10.613791465759277,22.732166290283203,-2.7886667251586914,973.0,109.0,44.0,26.642770767211914,315.0,157.0,305.0,157.0,11.457917213439941,29.16465187072754,1031.1873779296875,29.843000411987305,-9.444000244140625,39.28700256347656,20.78933334350586,-2.7886667251586914
-89.4801647853233,40.2658631250678,0,10.868000030517578,10.868000030517578,23.062332153320312,-2.735166549682617,949.0,108.0,40.0,27.520145416259766,308.0,149.0,290.0,149.0,11.642666816711426,29.33770179748535,1041.6490478515625,30.183000564575195,-9.501999855041504,39.685001373291016,21.144332885742188,-2.735166549682617
-91.4782806636171,40.1724011953929,0,11.475791931152344,11.475791931152344,23.853666305541992,-2.176833391189575,968.0,119.0,34.0,35.33254623413086,329.0,124.0,306.0,124.0,11.353416442871094,28.390640258789062,1048.635986328125,30.961999893188477,-9.027999877929688,39.98999786376953,21.830833435058594,-2.176833391189575
-89.16870894837,40.7818095557855,0,10.172416687011719,10.172416687011719,22.45400047302246,-3.502666711807251,949.0,105.0,39.0,27.878368377685547,304.0,144.0,286.0,144.0,11.69516658782959,29.326629638671875,1048.3424072265625,29.607999801635742,-10.270999908447266,39.878997802734375,20.552833557128906,-3.502666711807251
-89.6005887284064,40.5873209861936,0,10.936041831970215,10.936041831970215,23.345333099365234,-2.760666847229004,933.0,103.0,39.0,28.410642623901367,304.0,141.0,286.0,141.0,11.241582870483398,27.99129295349121,1050.6038818359375,30.57699966430664,-9.584000587463379,40.1609992980957,21.212833404541016,-2.760666847229004
-91.3246650964695,40.2807619364738,0,11.044791221618652,11.044791221618652,23.429832458496094,-2.622499942779541,965.0,115.0,34.0,35.1890983581543,327.0,122.0,303.0,122.0,11.230916976928711,28.20067024230957,1048.8583984375,30.45800018310547,-9.366999626159668,39.82500076293945,21.410165786743164,-2.622499942779541
-88.5665163134635,38.3605599640309,0,12.811208724975586,12.811208724975586,24.267499923706055,0.32149994373321533,1089.0,117.0,62.0,19.800029754638672,337.0,219.0,276.0,219.0,11.971083641052246,31.58763885498047,964.5447998046875,31.61600112915039,-6.2820000648498535,37.89800262451172,12.718832969665527,0.32149994373321533
-88.7463865402347,41.6173520005943,0,9.367833137512207,9.367833137512207,21.840665817260742,-4.5363335609436035,924.0,106.0,31.0,33.07683181762695,305.0,125.0,304.0,125.0,11.446166038513184,28.37704849243164,1063.2210693359375,28.910999298095703,-11.425000190734863,40.33599853515625,19.87566566467285,-4.5363335609436035
-90.0190137088215,38.7412321199583,0,12.842583656311035,12.842583656311035,24.599498748779297,0.08500007539987564,969.0,103.0,50.0,19.384178161621094,292.0,182.0,271.0,182.0,11.39133358001709,29.74083137512207,986.7098999023438,31.63599967956543,-6.665999889373779,38.301998138427734,22.552499771118164,0.08500007539987564
-89.0479729793825,42.1544318155583,0,8.720083236694336,8.720083236694336,21.45549964904785,-5.3520002365112305,918.0,112.0,29.0,36.17299270629883,317.0,115.0,317.0,115.0,11.421333312988281,27.95851707458496,1081.0455322265625,28.663000106811523,-12.187999725341797,40.85099792480469,21.45549964904785,-5.3520002365112305
